date,code,name,score
2020-03-19,CZ064,Jihomoravský kraj,41
2020-03-19,CZ071,Olomoucký kraj,66
2020-03-19,CZ072,Zlínský kraj,64
2020-03-19,CZ080,Moravskoslezský kraj,41
2020-03-20,CZ010,Praha,66
2020-03-20,CZ020,Středočeský kraj,62
2020-03-20,CZ031,Jihočeský kraj,37
2020-03-20,CZ032,Plzeňský kraj,29
2020-03-20,CZ041,Karlovarský kraj,66
2020-03-20,CZ042,Ústecký kraj,39
2020-03-20,CZ051,Liberecký kraj,52
2020-03-20,CZ052,Královéhradecký kraj,29
2020-03-20,CZ053,Pardubický kraj,35
2020-03-20,CZ063,Kraj Vysočina,47
2020-03-20,CZ064,Jihomoravský kraj,41
2020-03-20,CZ071,Olomoucký kraj,63
2020-03-20,CZ072,Zlínský kraj,59
2020-03-20,CZ080,Moravskoslezský kraj,41
2020-03-21,CZ010,Praha,63
2020-03-21,CZ020,Středočeský kraj,64
2020-03-21,CZ031,Jihočeský kraj,37
2020-03-21,CZ032,Plzeňský kraj,29
2020-03-21,CZ041,Karlovarský kraj,64
2020-03-21,CZ042,Ústecký kraj,39
2020-03-21,CZ051,Liberecký kraj,57
2020-03-21,CZ052,Královéhradecký kraj,34
2020-03-21,CZ053,Pardubický kraj,35
2020-03-21,CZ063,Kraj Vysočina,54
2020-03-21,CZ064,Jihomoravský kraj,41
2020-03-21,CZ071,Olomoucký kraj,53
2020-03-21,CZ072,Zlínský kraj,64
2020-03-21,CZ080,Moravskoslezský kraj,41
2020-03-22,CZ010,Praha,58
2020-03-22,CZ020,Středočeský kraj,64
2020-03-22,CZ031,Jihočeský kraj,32
2020-03-22,CZ032,Plzeňský kraj,10
2020-03-22,CZ041,Karlovarský kraj,59
2020-03-22,CZ042,Ústecký kraj,41
2020-03-22,CZ051,Liberecký kraj,57
2020-03-22,CZ052,Královéhradecký kraj,20
2020-03-22,CZ053,Pardubický kraj,35
2020-03-22,CZ063,Kraj Vysočina,47
2020-03-22,CZ064,Jihomoravský kraj,45
2020-03-22,CZ071,Olomoucký kraj,61
2020-03-22,CZ072,Zlínský kraj,66
2020-03-22,CZ080,Moravskoslezský kraj,43
2020-03-23,CZ010,Praha,58
2020-03-23,CZ020,Středočeský kraj,49
2020-03-23,CZ031,Jihočeský kraj,20
2020-03-23,CZ032,Plzeňský kraj,10
2020-03-23,CZ041,Karlovarský kraj,64
2020-03-23,CZ042,Ústecký kraj,39
2020-03-23,CZ051,Liberecký kraj,52
2020-03-23,CZ052,Královéhradecký kraj,10
2020-03-23,CZ053,Pardubický kraj,35
2020-03-23,CZ063,Kraj Vysočina,47
2020-03-23,CZ064,Jihomoravský kraj,40
2020-03-23,CZ071,Olomoucký kraj,51
2020-03-23,CZ072,Zlínský kraj,56
2020-03-23,CZ080,Moravskoslezský kraj,43
2020-03-24,CZ010,Praha,48
2020-03-24,CZ020,Středočeský kraj,35
2020-03-24,CZ031,Jihočeský kraj,15
2020-03-24,CZ032,Plzeňský kraj,20
2020-03-24,CZ041,Karlovarský kraj,54
2020-03-24,CZ042,Ústecký kraj,36
2020-03-24,CZ051,Liberecký kraj,62
2020-03-24,CZ052,Královéhradecký kraj,39
2020-03-24,CZ053,Pardubický kraj,35
2020-03-24,CZ063,Kraj Vysočina,47
2020-03-24,CZ064,Jihomoravský kraj,30
2020-03-24,CZ071,Olomoucký kraj,51
2020-03-24,CZ072,Zlínský kraj,51
2020-03-24,CZ080,Moravskoslezský kraj,38
2020-03-25,CZ010,Praha,50
2020-03-25,CZ020,Středočeský kraj,30
2020-03-25,CZ031,Jihočeský kraj,29
2020-03-25,CZ032,Plzeňský kraj,34
2020-03-25,CZ041,Karlovarský kraj,49
2020-03-25,CZ042,Ústecký kraj,41
2020-03-25,CZ051,Liberecký kraj,64
2020-03-25,CZ052,Královéhradecký kraj,39
2020-03-25,CZ053,Pardubický kraj,39
2020-03-25,CZ063,Kraj Vysočina,49
2020-03-25,CZ064,Jihomoravský kraj,30
2020-03-25,CZ071,Olomoucký kraj,51
2020-03-25,CZ072,Zlínský kraj,56
2020-03-25,CZ080,Moravskoslezský kraj,38
2020-03-26,CZ010,Praha,40
2020-03-26,CZ020,Středočeský kraj,32
2020-03-26,CZ031,Jihočeský kraj,36
2020-03-26,CZ032,Plzeňský kraj,45
2020-03-26,CZ041,Karlovarský kraj,44
2020-03-26,CZ042,Ústecký kraj,39
2020-03-26,CZ051,Liberecký kraj,66
2020-03-26,CZ052,Královéhradecký kraj,35
2020-03-26,CZ053,Pardubický kraj,34
2020-03-26,CZ063,Kraj Vysočina,38
2020-03-26,CZ064,Jihomoravský kraj,10
2020-03-26,CZ071,Olomoucký kraj,53
2020-03-26,CZ072,Zlínský kraj,29
2020-03-26,CZ080,Moravskoslezský kraj,40
2020-03-27,CZ010,Praha,56
2020-03-27,CZ020,Středočeský kraj,37
2020-03-27,CZ031,Jihočeský kraj,41
2020-03-27,CZ032,Plzeňský kraj,45
2020-03-27,CZ041,Karlovarský kraj,58
2020-03-27,CZ042,Ústecký kraj,30
2020-03-27,CZ051,Liberecký kraj,68
2020-03-27,CZ052,Královéhradecký kraj,35
2020-03-27,CZ053,Pardubický kraj,34
2020-03-27,CZ063,Kraj Vysočina,53
2020-03-27,CZ064,Jihomoravský kraj,17
2020-03-27,CZ071,Olomoucký kraj,55
2020-03-27,CZ072,Zlínský kraj,34
2020-03-27,CZ080,Moravskoslezský kraj,33
2020-03-28,CZ010,Praha,51
2020-03-28,CZ020,Středočeský kraj,37
2020-03-28,CZ031,Jihočeský kraj,45
2020-03-28,CZ032,Plzeňský kraj,45
2020-03-28,CZ041,Karlovarský kraj,58
2020-03-28,CZ042,Ústecký kraj,35
2020-03-28,CZ051,Liberecký kraj,68
2020-03-28,CZ052,Královéhradecký kraj,43
2020-03-28,CZ053,Pardubický kraj,29
2020-03-28,CZ063,Kraj Vysočina,51
2020-03-28,CZ064,Jihomoravský kraj,17
2020-03-28,CZ071,Olomoucký kraj,55
2020-03-28,CZ072,Zlínský kraj,27
2020-03-28,CZ080,Moravskoslezský kraj,33
2020-03-29,CZ010,Praha,42
2020-03-29,CZ020,Středočeský kraj,33
2020-03-29,CZ031,Jihočeský kraj,45
2020-03-29,CZ032,Plzeňský kraj,45
2020-03-29,CZ041,Karlovarský kraj,53
2020-03-29,CZ042,Ústecký kraj,43
2020-03-29,CZ051,Liberecký kraj,68
2020-03-29,CZ052,Královéhradecký kraj,43
2020-03-29,CZ053,Pardubický kraj,29
2020-03-29,CZ063,Kraj Vysočina,51
2020-03-29,CZ064,Jihomoravský kraj,17
2020-03-29,CZ071,Olomoucký kraj,50
2020-03-29,CZ072,Zlínský kraj,27
2020-03-29,CZ080,Moravskoslezský kraj,24
2020-03-30,CZ010,Praha,33
2020-03-30,CZ020,Středočeský kraj,28
2020-03-30,CZ031,Jihočeský kraj,35
2020-03-30,CZ032,Plzeňský kraj,45
2020-03-30,CZ041,Karlovarský kraj,48
2020-03-30,CZ042,Ústecký kraj,47
2020-03-30,CZ051,Liberecký kraj,68
2020-03-30,CZ052,Královéhradecký kraj,45
2020-03-30,CZ053,Pardubický kraj,14
2020-03-30,CZ063,Kraj Vysočina,47
2020-03-30,CZ064,Jihomoravský kraj,17
2020-03-30,CZ071,Olomoucký kraj,41
2020-03-30,CZ072,Zlínský kraj,23
2020-03-30,CZ080,Moravskoslezský kraj,19
2020-03-31,CZ010,Praha,33
2020-03-31,CZ020,Středočeský kraj,30
2020-03-31,CZ031,Jihočeský kraj,30
2020-03-31,CZ032,Plzeňský kraj,47
2020-03-31,CZ041,Karlovarský kraj,55
2020-03-31,CZ042,Ústecký kraj,47
2020-03-31,CZ051,Liberecký kraj,70
2020-03-31,CZ052,Královéhradecký kraj,39
2020-03-31,CZ053,Pardubický kraj,29
2020-03-31,CZ063,Kraj Vysočina,47
2020-03-31,CZ064,Jihomoravský kraj,22
2020-03-31,CZ071,Olomoucký kraj,41
2020-03-31,CZ072,Zlínský kraj,28
2020-03-31,CZ080,Moravskoslezský kraj,14
2020-04-01,CZ010,Praha,28
2020-04-01,CZ020,Středočeský kraj,21
2020-04-01,CZ031,Jihočeský kraj,21
2020-04-01,CZ032,Plzeňský kraj,40
2020-04-01,CZ041,Karlovarský kraj,50
2020-04-01,CZ042,Ústecký kraj,47
2020-04-01,CZ051,Liberecký kraj,72
2020-04-01,CZ052,Královéhradecký kraj,29
2020-04-01,CZ053,Pardubický kraj,29
2020-04-01,CZ063,Kraj Vysočina,28
2020-04-01,CZ064,Jihomoravský kraj,29
2020-04-01,CZ071,Olomoucký kraj,31
2020-04-01,CZ072,Zlínský kraj,23
2020-04-01,CZ080,Moravskoslezský kraj,9
2020-04-02,CZ010,Praha,33
2020-04-02,CZ020,Středočeský kraj,16
2020-04-02,CZ031,Jihočeský kraj,14
2020-04-02,CZ032,Plzeňský kraj,21
2020-04-02,CZ041,Karlovarský kraj,50
2020-04-02,CZ042,Ústecký kraj,53
2020-04-02,CZ051,Liberecký kraj,65
2020-04-02,CZ052,Královéhradecký kraj,19
2020-04-02,CZ053,Pardubický kraj,29
2020-04-02,CZ063,Kraj Vysočina,23
2020-04-02,CZ064,Jihomoravský kraj,40
2020-04-02,CZ071,Olomoucký kraj,31
2020-04-02,CZ072,Zlínský kraj,19
2020-04-02,CZ080,Moravskoslezský kraj,9
2020-04-03,CZ010,Praha,28
2020-04-03,CZ020,Středočeský kraj,18
2020-04-03,CZ031,Jihočeský kraj,14
2020-04-03,CZ032,Plzeňský kraj,26
2020-04-03,CZ041,Karlovarský kraj,50
2020-04-03,CZ042,Ústecký kraj,53
2020-04-03,CZ051,Liberecký kraj,55
2020-04-03,CZ052,Královéhradecký kraj,19
2020-04-03,CZ053,Pardubický kraj,45
2020-04-03,CZ063,Kraj Vysočina,9
2020-04-03,CZ064,Jihomoravský kraj,29
2020-04-03,CZ071,Olomoucký kraj,30
2020-04-03,CZ072,Zlínský kraj,28
2020-04-03,CZ080,Moravskoslezský kraj,9
2020-04-04,CZ010,Praha,24
2020-04-04,CZ020,Středočeský kraj,18
2020-04-04,CZ031,Jihočeský kraj,9
2020-04-04,CZ032,Plzeňský kraj,23
2020-04-04,CZ041,Karlovarský kraj,55
2020-04-04,CZ042,Ústecký kraj,44
2020-04-04,CZ051,Liberecký kraj,50
2020-04-04,CZ052,Královéhradecký kraj,9
2020-04-04,CZ053,Pardubický kraj,45
2020-04-04,CZ063,Kraj Vysočina,9
2020-04-04,CZ064,Jihomoravský kraj,31
2020-04-04,CZ071,Olomoucký kraj,30
2020-04-04,CZ072,Zlínský kraj,28
2020-04-04,CZ080,Moravskoslezský kraj,23
2020-04-05,CZ010,Praha,24
2020-04-05,CZ020,Středočeský kraj,18
2020-04-05,CZ031,Jihočeský kraj,9
2020-04-05,CZ032,Plzeňský kraj,23
2020-04-05,CZ041,Karlovarský kraj,55
2020-04-05,CZ042,Ústecký kraj,34
2020-04-05,CZ051,Liberecký kraj,35
2020-04-05,CZ052,Královéhradecký kraj,9
2020-04-05,CZ053,Pardubický kraj,40
2020-04-05,CZ063,Kraj Vysočina,6
2020-04-05,CZ064,Jihomoravský kraj,31
2020-04-05,CZ071,Olomoucký kraj,25
2020-04-05,CZ072,Zlínský kraj,23
2020-04-05,CZ080,Moravskoslezský kraj,23
2020-04-06,CZ010,Praha,28
2020-04-06,CZ020,Středočeský kraj,18
2020-04-06,CZ031,Jihočeský kraj,9
2020-04-06,CZ032,Plzeňský kraj,27
2020-04-06,CZ041,Karlovarský kraj,65
2020-04-06,CZ042,Ústecký kraj,32
2020-04-06,CZ051,Liberecký kraj,35
2020-04-06,CZ052,Královéhradecký kraj,14
2020-04-06,CZ053,Pardubický kraj,35
2020-04-06,CZ063,Kraj Vysočina,6
2020-04-06,CZ064,Jihomoravský kraj,21
2020-04-06,CZ071,Olomoucký kraj,25
2020-04-06,CZ072,Zlínský kraj,23
2020-04-06,CZ080,Moravskoslezský kraj,38
2020-04-07,CZ010,Praha,23
2020-04-07,CZ020,Středočeský kraj,23
2020-04-07,CZ031,Jihočeský kraj,9
2020-04-07,CZ032,Plzeňský kraj,28
2020-04-07,CZ041,Karlovarský kraj,55
2020-04-07,CZ042,Ústecký kraj,16
2020-04-07,CZ051,Liberecký kraj,30
2020-04-07,CZ052,Královéhradecký kraj,7
2020-04-07,CZ053,Pardubický kraj,23
2020-04-07,CZ063,Kraj Vysočina,6
2020-04-07,CZ064,Jihomoravský kraj,21
2020-04-07,CZ071,Olomoucký kraj,25
2020-04-07,CZ072,Zlínský kraj,14
2020-04-07,CZ080,Moravskoslezský kraj,45
2020-04-08,CZ010,Praha,24
2020-04-08,CZ020,Středočeský kraj,28
2020-04-08,CZ031,Jihočeský kraj,9
2020-04-08,CZ032,Plzeňský kraj,45
2020-04-08,CZ041,Karlovarský kraj,55
2020-04-08,CZ042,Ústecký kraj,16
2020-04-08,CZ051,Liberecký kraj,25
2020-04-08,CZ052,Královéhradecký kraj,7
2020-04-08,CZ053,Pardubický kraj,18
2020-04-08,CZ063,Kraj Vysočina,6
2020-04-08,CZ064,Jihomoravský kraj,14
2020-04-08,CZ071,Olomoucký kraj,25
2020-04-08,CZ072,Zlínský kraj,9
2020-04-08,CZ080,Moravskoslezský kraj,45
2020-04-09,CZ010,Praha,19
2020-04-09,CZ020,Středočeský kraj,28
2020-04-09,CZ031,Jihočeský kraj,9
2020-04-09,CZ032,Plzeňský kraj,45
2020-04-09,CZ041,Karlovarský kraj,53
2020-04-09,CZ042,Ústecký kraj,16
2020-04-09,CZ051,Liberecký kraj,21
2020-04-09,CZ052,Královéhradecký kraj,7
2020-04-09,CZ053,Pardubický kraj,13
2020-04-09,CZ063,Kraj Vysočina,11
2020-04-09,CZ064,Jihomoravský kraj,9
2020-04-09,CZ071,Olomoucký kraj,33
2020-04-09,CZ072,Zlínský kraj,21
2020-04-09,CZ080,Moravskoslezský kraj,40
2020-04-10,CZ010,Praha,19
2020-04-10,CZ020,Středočeský kraj,25
2020-04-10,CZ031,Jihočeský kraj,7
2020-04-10,CZ032,Plzeňský kraj,37
2020-04-10,CZ041,Karlovarský kraj,48
2020-04-10,CZ042,Ústecký kraj,16
2020-04-10,CZ051,Liberecký kraj,21
2020-04-10,CZ052,Královéhradecký kraj,4
2020-04-10,CZ053,Pardubický kraj,13
2020-04-10,CZ063,Kraj Vysočina,11
2020-04-10,CZ064,Jihomoravský kraj,9
2020-04-10,CZ071,Olomoucký kraj,33
2020-04-10,CZ072,Zlínský kraj,6
2020-04-10,CZ080,Moravskoslezský kraj,35
2020-04-11,CZ010,Praha,16
2020-04-11,CZ020,Středočeský kraj,18
2020-04-11,CZ031,Jihočeský kraj,14
2020-04-11,CZ032,Plzeňský kraj,40
2020-04-11,CZ041,Karlovarský kraj,40
2020-04-11,CZ042,Ústecký kraj,16
2020-04-11,CZ051,Liberecký kraj,19
2020-04-11,CZ052,Královéhradecký kraj,4
2020-04-11,CZ053,Pardubický kraj,10
2020-04-11,CZ063,Kraj Vysočina,9
2020-04-11,CZ064,Jihomoravský kraj,9
2020-04-11,CZ071,Olomoucký kraj,28
2020-04-11,CZ072,Zlínský kraj,14
2020-04-11,CZ080,Moravskoslezský kraj,25
2020-04-12,CZ010,Praha,16
2020-04-12,CZ020,Středočeský kraj,20
2020-04-12,CZ031,Jihočeský kraj,19
2020-04-12,CZ032,Plzeňský kraj,35
2020-04-12,CZ041,Karlovarský kraj,40
2020-04-12,CZ042,Ústecký kraj,13
2020-04-12,CZ051,Liberecký kraj,15
2020-04-12,CZ052,Královéhradecký kraj,4
2020-04-12,CZ053,Pardubický kraj,10
2020-04-12,CZ063,Kraj Vysočina,14
2020-04-12,CZ064,Jihomoravský kraj,9
2020-04-12,CZ071,Olomoucký kraj,33
2020-04-12,CZ072,Zlínský kraj,19
2020-04-12,CZ080,Moravskoslezský kraj,25
2020-04-13,CZ010,Praha,16
2020-04-13,CZ020,Středočeský kraj,13
2020-04-13,CZ031,Jihočeský kraj,17
2020-04-13,CZ032,Plzeňský kraj,34
2020-04-13,CZ041,Karlovarský kraj,35
2020-04-13,CZ042,Ústecký kraj,13
2020-04-13,CZ051,Liberecký kraj,15
2020-04-13,CZ052,Královéhradecký kraj,4
2020-04-13,CZ053,Pardubický kraj,13
2020-04-13,CZ063,Kraj Vysočina,16
2020-04-13,CZ064,Jihomoravský kraj,9
2020-04-13,CZ071,Olomoucký kraj,25
2020-04-13,CZ072,Zlínský kraj,14
2020-04-13,CZ080,Moravskoslezský kraj,13
2020-04-14,CZ010,Praha,16
2020-04-14,CZ020,Středočeský kraj,11
2020-04-14,CZ031,Jihočeský kraj,15
2020-04-14,CZ032,Plzeňský kraj,34
2020-04-14,CZ041,Karlovarský kraj,40
2020-04-14,CZ042,Ústecký kraj,11
2020-04-14,CZ051,Liberecký kraj,15
2020-04-14,CZ052,Královéhradecký kraj,4
2020-04-14,CZ053,Pardubický kraj,8
2020-04-14,CZ063,Kraj Vysočina,7
2020-04-14,CZ064,Jihomoravský kraj,6
2020-04-14,CZ071,Olomoucký kraj,17
2020-04-14,CZ072,Zlínský kraj,11
2020-04-14,CZ080,Moravskoslezský kraj,13
2020-04-15,CZ010,Praha,16
2020-04-15,CZ020,Středočeský kraj,11
2020-04-15,CZ031,Jihočeský kraj,5
2020-04-15,CZ032,Plzeňský kraj,29
2020-04-15,CZ041,Karlovarský kraj,40
2020-04-15,CZ042,Ústecký kraj,11
2020-04-15,CZ051,Liberecký kraj,13
2020-04-15,CZ052,Královéhradecký kraj,4
2020-04-15,CZ053,Pardubický kraj,8
2020-04-15,CZ063,Kraj Vysočina,2
2020-04-15,CZ064,Jihomoravský kraj,6
2020-04-15,CZ071,Olomoucký kraj,13
2020-04-15,CZ072,Zlínský kraj,9
2020-04-15,CZ080,Moravskoslezský kraj,13
2020-04-16,CZ010,Praha,16
2020-04-16,CZ020,Středočeský kraj,11
2020-04-16,CZ031,Jihočeský kraj,7
2020-04-16,CZ032,Plzeňský kraj,33
2020-04-16,CZ041,Karlovarský kraj,35
2020-04-16,CZ042,Ústecký kraj,9
2020-04-16,CZ051,Liberecký kraj,9
2020-04-16,CZ052,Královéhradecký kraj,4
2020-04-16,CZ053,Pardubický kraj,13
2020-04-16,CZ063,Kraj Vysočina,2
2020-04-16,CZ064,Jihomoravský kraj,6
2020-04-16,CZ071,Olomoucký kraj,13
2020-04-16,CZ072,Zlínský kraj,6
2020-04-16,CZ080,Moravskoslezský kraj,13
2020-04-17,CZ010,Praha,13
2020-04-17,CZ020,Středočeský kraj,6
2020-04-17,CZ031,Jihočeský kraj,2
2020-04-17,CZ032,Plzeňský kraj,29
2020-04-17,CZ041,Karlovarský kraj,35
2020-04-17,CZ042,Ústecký kraj,9
2020-04-17,CZ051,Liberecký kraj,7
2020-04-17,CZ052,Královéhradecký kraj,2
2020-04-17,CZ053,Pardubický kraj,6
2020-04-17,CZ063,Kraj Vysočina,2
2020-04-17,CZ064,Jihomoravský kraj,6
2020-04-17,CZ071,Olomoucký kraj,13
2020-04-17,CZ072,Zlínský kraj,6
2020-04-17,CZ080,Moravskoslezský kraj,16
2020-04-18,CZ010,Praha,13
2020-04-18,CZ020,Středočeský kraj,6
2020-04-18,CZ031,Jihočeský kraj,2
2020-04-18,CZ032,Plzeňský kraj,26
2020-04-18,CZ041,Karlovarský kraj,45
2020-04-18,CZ042,Ústecký kraj,11
2020-04-18,CZ051,Liberecký kraj,4
2020-04-18,CZ052,Královéhradecký kraj,2
2020-04-18,CZ053,Pardubický kraj,6
2020-04-18,CZ063,Kraj Vysočina,2
2020-04-18,CZ064,Jihomoravský kraj,4
2020-04-18,CZ071,Olomoucký kraj,10
2020-04-18,CZ072,Zlínský kraj,6
2020-04-18,CZ080,Moravskoslezský kraj,18
2020-04-19,CZ010,Praha,13
2020-04-19,CZ020,Středočeský kraj,6
2020-04-19,CZ031,Jihočeský kraj,2
2020-04-19,CZ032,Plzeňský kraj,26
2020-04-19,CZ041,Karlovarský kraj,50
2020-04-19,CZ042,Ústecký kraj,19
2020-04-19,CZ051,Liberecký kraj,2
2020-04-19,CZ052,Královéhradecký kraj,2
2020-04-19,CZ053,Pardubický kraj,6
2020-04-19,CZ063,Kraj Vysočina,2
2020-04-19,CZ064,Jihomoravský kraj,9
2020-04-19,CZ071,Olomoucký kraj,10
2020-04-19,CZ072,Zlínský kraj,6
2020-04-19,CZ080,Moravskoslezský kraj,13
2020-04-20,CZ010,Praha,26
2020-04-20,CZ020,Středočeský kraj,6
2020-04-20,CZ031,Jihočeský kraj,2
2020-04-20,CZ032,Plzeňský kraj,20
2020-04-20,CZ041,Karlovarský kraj,62
2020-04-20,CZ042,Ústecký kraj,26
2020-04-20,CZ051,Liberecký kraj,2
2020-04-20,CZ052,Královéhradecký kraj,2
2020-04-20,CZ053,Pardubický kraj,6
2020-04-20,CZ063,Kraj Vysočina,2
2020-04-20,CZ064,Jihomoravský kraj,14
2020-04-20,CZ071,Olomoucký kraj,10
2020-04-20,CZ072,Zlínský kraj,11
2020-04-20,CZ080,Moravskoslezský kraj,18
2020-04-21,CZ010,Praha,23
2020-04-21,CZ020,Středočeský kraj,11
2020-04-21,CZ031,Jihočeský kraj,2
2020-04-21,CZ032,Plzeňský kraj,20
2020-04-21,CZ041,Karlovarský kraj,60
2020-04-21,CZ042,Ústecký kraj,31
2020-04-21,CZ051,Liberecký kraj,0
2020-04-21,CZ052,Královéhradecký kraj,2
2020-04-21,CZ053,Pardubický kraj,6
2020-04-21,CZ063,Kraj Vysočina,2
2020-04-21,CZ064,Jihomoravský kraj,9
2020-04-21,CZ071,Olomoucký kraj,26
2020-04-21,CZ072,Zlínský kraj,26
2020-04-21,CZ080,Moravskoslezský kraj,23
2020-04-22,CZ010,Praha,21
2020-04-22,CZ020,Středočeský kraj,11
2020-04-22,CZ031,Jihočeský kraj,2
2020-04-22,CZ032,Plzeňský kraj,13
2020-04-22,CZ041,Karlovarský kraj,73
2020-04-22,CZ042,Ústecký kraj,24
2020-04-22,CZ051,Liberecký kraj,2
2020-04-22,CZ052,Královéhradecký kraj,2
2020-04-22,CZ053,Pardubický kraj,6
2020-04-22,CZ063,Kraj Vysočina,12
2020-04-22,CZ064,Jihomoravský kraj,14
2020-04-22,CZ071,Olomoucký kraj,28
2020-04-22,CZ072,Zlínský kraj,36
2020-04-22,CZ080,Moravskoslezský kraj,18
2020-04-23,CZ010,Praha,13
2020-04-23,CZ020,Středočeský kraj,6
2020-04-23,CZ031,Jihočeský kraj,12
2020-04-23,CZ032,Plzeňský kraj,13
2020-04-23,CZ041,Karlovarský kraj,38
2020-04-23,CZ042,Ústecký kraj,21
2020-04-23,CZ051,Liberecký kraj,2
2020-04-23,CZ052,Královéhradecký kraj,2
2020-04-23,CZ053,Pardubický kraj,6
2020-04-23,CZ063,Kraj Vysočina,22
2020-04-23,CZ064,Jihomoravský kraj,14
2020-04-23,CZ071,Olomoucký kraj,28
2020-04-23,CZ072,Zlínský kraj,38
2020-04-23,CZ080,Moravskoslezský kraj,16
2020-04-24,CZ010,Praha,13
2020-04-24,CZ020,Středočeský kraj,6
2020-04-24,CZ031,Jihočeský kraj,27
2020-04-24,CZ032,Plzeňský kraj,10
2020-04-24,CZ041,Karlovarský kraj,33
2020-04-24,CZ042,Ústecký kraj,16
2020-04-24,CZ051,Liberecký kraj,2
2020-04-24,CZ052,Královéhradecký kraj,2
2020-04-24,CZ053,Pardubický kraj,2
2020-04-24,CZ063,Kraj Vysočina,34
2020-04-24,CZ064,Jihomoravský kraj,14
2020-04-24,CZ071,Olomoucký kraj,33
2020-04-24,CZ072,Zlínský kraj,38
2020-04-24,CZ080,Moravskoslezský kraj,18
2020-04-25,CZ010,Praha,8
2020-04-25,CZ020,Středočeský kraj,4
2020-04-25,CZ031,Jihočeský kraj,22
2020-04-25,CZ032,Plzeňský kraj,10
2020-04-25,CZ041,Karlovarský kraj,33
2020-04-25,CZ042,Ústecký kraj,6
2020-04-25,CZ051,Liberecký kraj,2
2020-04-25,CZ052,Královéhradecký kraj,0
2020-04-25,CZ053,Pardubický kraj,2
2020-04-25,CZ063,Kraj Vysočina,34
2020-04-25,CZ064,Jihomoravský kraj,12
2020-04-25,CZ071,Olomoucký kraj,18
2020-04-25,CZ072,Zlínský kraj,28
2020-04-25,CZ080,Moravskoslezský kraj,13
2020-04-26,CZ010,Praha,8
2020-04-26,CZ020,Středočeský kraj,4
2020-04-26,CZ031,Jihočeský kraj,12
2020-04-26,CZ032,Plzeňský kraj,8
2020-04-26,CZ041,Karlovarský kraj,41
2020-04-26,CZ042,Ústecký kraj,6
2020-04-26,CZ051,Liberecký kraj,2
2020-04-26,CZ052,Královéhradecký kraj,0
2020-04-26,CZ053,Pardubický kraj,2
2020-04-26,CZ063,Kraj Vysočina,24
2020-04-26,CZ064,Jihomoravský kraj,7
2020-04-26,CZ071,Olomoucký kraj,13
2020-04-26,CZ072,Zlínský kraj,23
2020-04-26,CZ080,Moravskoslezský kraj,11
2020-04-27,CZ010,Praha,8
2020-04-27,CZ020,Středočeský kraj,2
2020-04-27,CZ031,Jihočeský kraj,12
2020-04-27,CZ032,Plzeňský kraj,8
2020-04-27,CZ041,Karlovarský kraj,31
2020-04-27,CZ042,Ústecký kraj,6
2020-04-27,CZ051,Liberecký kraj,2
