den,datum,orp_kod,orp_nazev,incidence_7,incidence_65_7,incidence_75_7,prevalence,prevalence_65,prevalence_75,aktualni_pocet_hospitalizovanych_osob,nove_hosp_7,testy_7,code,name,population,population_65,code_region,name_region,code_cz,name_cz,value_1,score_1,value_2,score_2,value_3,score_3,value_4,score_4,value_5,score_5,value_6,score_6,value_7,score_7,score
pondělí,2021-06-21,5109,Turnov,3,1,0,5,0,0,0,0,219,5109,Turnov,33623,7134,CZ051,Liberecký kraj,CZ,ČR,26.76739136900336,4,False,0,28.034763106251752,4,True,2,1.36986301369863,0,False,0,0.5,0,10
pondělí,2021-06-21,5110,Železný Brod,1,0,0,0,0,0,0,0,45,5110,Železný Brod,12182,2797,CZ051,Liberecký kraj,CZ,ČR,16.417665407978983,2,False,0,0.0,0,False,0,2.2222222222222223,0,True,2,0.5,0,4
pondělí,2021-06-21,5201,Broumov,1,0,0,1,0,0,1,1,54,5201,Broumov,15876,3561,CZ052,Královéhradecký kraj,CZ,ČR,12.597631645250694,2,False,0,0.0,0,False,0,1.8518518518518516,0,False,0,1.0,10,12
pondělí,2021-06-21,5202,Dobruška,0,0,0,0,0,0,0,0,46,5202,Dobruška,20190,4276,CZ052,Královéhradecký kraj,CZ,ČR,0.0,0,False,0,0.0,0,False,0,0.0,0,False,0,,30,30
pondělí,2021-06-21,5203,Dvůr Králové nad Labem,3,0,0,0,0,0,0,0,78,5203,Dvůr Králové nad Labem,26949,6223,CZ052,Královéhradecký kraj,CZ,ČR,25.974989795539724,4,False,0,0.0,0,False,0,3.8461538461538463,3,False,0,0.6,0,7
pondělí,2021-06-21,5204,Hořice,0,0,0,2,1,0,0,0,56,5204,Hořice,18377,4041,CZ052,Královéhradecký kraj,CZ,ČR,10.883169178864886,2,False,0,0.0,0,False,0,0.0,0,False,0,0.0,0,2
pondělí,2021-06-21,5205,Hradec Králové,3,2,1,0,0,0,0,0,956,5205,Hradec Králové,146899,32484,CZ052,Královéhradecký kraj,CZ,ČR,4.765178796315836,0,False,0,6.156877231867996,0,True,2,0.3138075313807531,0,False,0,0.75,0,2
pondělí,2021-06-21,5206,Jaroměř,0,0,0,0,0,0,0,0,65,5206,Jaroměř,19273,3792,CZ052,Královéhradecký kraj,CZ,ČR,0.0,0,False,0,0.0,0,False,0,0.0,0,False,0,,30,30
pondělí,2021-06-21,5207,Jičín,0,0,0,0,0,0,0,0,118,5207,Jičín,48382,10108,CZ052,Královéhradecký kraj,CZ,ČR,4.133768756975735,0,False,0,0.0,0,False,0,0.0,0,False,0,0.0,0,0
pondělí,2021-06-21,5208,Kostelec nad Orlicí,1,0,0,0,0,0,0,0,90,5208,Kostelec nad Orlicí,24892,5311,CZ052,Královéhradecký kraj,CZ,ČR,4.017354973485457,0,False,0,0.0,0,False,0,1.1111111111111112,0,True,2,0.0,0,2
pondělí,2021-06-21,5209,Náchod,0,0,0,0,0,0,0,0,236,5209,Náchod,60595,13494,CZ052,Královéhradecký kraj,CZ,ČR,1.6503011799653435,0,False,0,0.0,0,False,0,0.0,0,False,0,,30,30
pondělí,2021-06-21,5210,Nová Paka,1,0,0,3,1,0,0,0,27,5210,Nová Paka,13286,2887,CZ052,Královéhradecký kraj,CZ,ČR,7.526719855486979,0,True,0,0.0,0,False,0,3.7037037037037033,3,True,2,0.0,0,5
pondělí,2021-06-21,5211,Nové Město nad Metují,0,0,0,0,0,0,0,0,40,5211,Nové Město nad Metují,14214,3321,CZ052,Královéhradecký kraj,CZ,ČR,0.0,0,False,0,0.0,0,False,0,0.0,0,False,0,,30,30
pondělí,2021-06-21,5212,Nový Bydžov,0,0,0,2,0,0,0,0,45,5212,Nový Bydžov,17384,3627,CZ052,Královéhradecký kraj,CZ,ČR,11.50483202945237,2,False,0,0.0,0,False,0,0.0,0,False,0,0.0,0,2
pondělí,2021-06-21,5213,Rychnov nad Kněžnou,1,1,0,3,2,0,1,1,96,5213,Rychnov nad Kněžnou,34301,6810,CZ052,Královéhradecký kraj,CZ,ČR,5.830733797848459,0,False,0,14.684287812041116,2,True,2,1.0416666666666665,0,True,2,1.0,10,16
pondělí,2021-06-21,5214,Trutnov,0,0,0,0,0,0,0,0,228,5214,Trutnov,63419,13537,CZ052,Královéhradecký kraj,CZ,ČR,1.5768145193080938,0,False,0,0.0,0,False,0,0.0,0,False,0,,30,30
pondělí,2021-06-21,5215,Vrchlabí,0,0,0,0,0,0,0,0,108,5215,Vrchlabí,27610,5935,CZ052,Královéhradecký kraj,CZ,ČR,3.621876131836291,0,False,0,0.0,0,False,0,0.0,0,False,0,0.0,0,0
