den,datum,orp_kod,orp_nazev,incidence_7,incidence_65_7,incidence_75_7,prevalence,prevalence_65,prevalence_75,aktualni_pocet_hospitalizovanych_osob,nove_hosp_7,testy_7,code,name,population,population_65,code_region,name_region,value_1,score_1,value_2,score_2,value_3,score_3,value_4,score_4,value_5,score_5,value_6,score_6,value_7,score_7,score
pátek,2020-11-13,3108,Písek,331,91,56,872,190,107,37,20,1147,3108,Písek,53352,11354,CZ031,Jihočeský kraj,1722.5221172589595,20,False,0,1743.8788092302273,20,True,2,28.85789014821273,30,False,0,0.6304761904761905,0,72
pátek,2020-11-13,3109,Prachatice,176,35,18,467,96,59,28,19,694,3109,Prachatice,33458,6497,CZ031,Jihočeský kraj,1488.4332596090621,20,False,0,1693.0891180544868,20,True,2,25.360230547550433,25,False,0,0.5770491803278689,0,67
pátek,2020-11-13,3110,Soběslav,89,28,12,285,68,23,20,13,336,3110,Soběslav,21947,4860,CZ031,Jihočeský kraj,1403.3808721009705,20,False,0,1604.9382716049383,20,True,2,26.488095238095237,30,False,0,0.4587628865979381,0,72
pátek,2020-11-13,3111,Strakonice,432,84,37,744,131,58,60,27,1186,3111,Strakonice,45223,9454,CZ031,Jihočeský kraj,1696.0396258541007,20,False,0,1586.6299978844932,20,True,2,36.42495784148398,30,False,0,1.1105398457583548,10,82
pátek,2020-11-13,3112,Tábor,509,103,50,1139,226,107,84,52,1515,3112,Tábor,80648,17257,CZ031,Jihočeský kraj,1558.625136395199,20,False,0,1338.5872399605958,20,True,2,33.5973597359736,30,False,0,0.755192878338279,0,72
pátek,2020-11-13,3113,Trhové Sviny,109,17,7,292,40,14,13,8,383,3113,Trhové Sviny,19267,3657,CZ031,Jihočeský kraj,1474.0229407795712,20,False,0,929.7238173366147,16,True,2,28.459530026109658,30,False,0,0.6606060606060606,0,68
pátek,2020-11-13,3114,Třeboň,116,29,15,341,85,38,22,15,393,3114,Třeboň,24796,5563,CZ031,Jihočeský kraj,1407.4850782384256,20,False,0,1563.9043681466835,20,True,2,29.51653944020356,30,False,0,0.5065502183406113,0,72
pátek,2020-11-13,3115,Týn nad Vltavou,91,13,7,248,35,14,8,8,244,3115,Týn nad Vltavou,14083,2594,CZ031,Jihočeský kraj,1540.8648725413618,20,False,0,1156.515034695451,20,True,2,37.295081967213115,30,False,0,0.65,0,72
pátek,2020-11-13,3116,Vimperk,132,35,17,267,56,27,17,9,394,3116,Vimperk,17520,3591,CZ031,Jihočeský kraj,1769.406392694064,20,False,0,1865.7755499860762,20,True,2,33.50253807106599,30,False,0,0.8354430379746836,5,77
pátek,2020-11-13,3117,Vodňany,88,12,6,186,24,11,11,7,254,3117,Vodňany,11881,2251,CZ031,Jihočeský kraj,1557.107987543136,20,True,0,1199.4669035984007,20,True,2,34.645669291338585,30,False,0,1.0476190476190477,10,82
pátek,2020-11-13,3201,Blovice,53,6,5,151,22,12,6,3,176,3201,Blovice,12185,2566,CZ032,Plzeňský kraj,1493.6397209684037,20,False,0,974.2790335151988,20,True,2,30.113636363636363,30,False,0,0.4015151515151515,0,72
pátek,2020-11-13,3202,Domažlice,159,28,14,519,99,44,25,12,513,3202,Domažlice,40679,8358,CZ032,Plzeňský kraj,1064.4312790383244,20,False,0,1100.7418042593922,20,True,2,30.994152046783626,30,False,0,0.5781818181818181,0,72
pátek,2020-11-13,3203,Horažďovice,73,14,3,165,29,10,10,5,220,3203,Horažďovice,11535,2662,CZ032,Plzeňský kraj,1681.837884698743,20,False,0,1277.2351615326822,20,True,2,33.18181818181819,30,False,0,0.7684210526315789,0,72
pátek,2020-11-13,3204,Horšovský Týn,66,6,3,189,28,11,8,5,173,3204,Horšovský Týn,14825,2829,CZ032,Plzeňský kraj,1153.4569983136594,20,False,0,813.0081300813009,16,True,2,38.15028901734104,30,True,2,0.559322033898305,0,70
pátek,2020-11-13,3205,Klatovy,265,50,23,663,134,69,34,25,917,3205,Klatovy,50720,10750,CZ032,Plzeňský kraj,1427.4447949526814,20,False,0,1311.6279069767443,20,True,2,28.898582333696837,30,False,0,0.6447688564476886,0,72
pátek,2020-11-13,3206,Kralovice,79,24,11,208,46,22,15,8,284,3206,Kralovice,22367,4828,CZ032,Plzeňský kraj,1046.1841105199624,20,False,0,1118.4755592377796,20,True,2,27.816901408450708,30,False,0,0.5064102564102564,0,72
pátek,2020-11-13,3207,Nepomuk,44,11,4,127,25,12,2,1,143,3207,Nepomuk,11583,2650,CZ032,Plzeňský kraj,1182.7678494345162,20,False,0,943.3962264150942,16,True,2,30.76923076923077,30,False,0,0.5238095238095238,0,68
pátek,2020-11-13,3208,Nýřany,203,38,22,483,72,32,28,16,877,3208,Nýřany,57612,10436,CZ032,Plzeňský kraj,977.2269666041797,20,False,0,900.7282483710234,16,True,2,23.14709236031927,25,False,0,0.5783475783475783,0,63
pátek,2020-11-13,3209,Plzeň,593,127,75,1629,352,205,114,66,2470,3209,Plzeň,194280,40386,CZ032,Plzeňský kraj,875.5404570722668,16,False,0,846.8281087505571,16,True,2,24.008097165991906,25,False,0,0.5583804143126178,0,59
