den,datum,orp_kod,orp_nazev,incidence_7,incidence_65_7,incidence_75_7,prevalence,prevalence_65,prevalence_75,aktualni_pocet_hospitalizovanych_osob,nove_hosp_7,testy_7,code,name,population,population_65,value_1,score_1,value_2,score_2,value_3,score_3,value_4,score_4,value_5,score_5,value_6,score_6,value_7,score_7,score
sobota,2020-10-31,3208,Nýřany,401,44,18,713,85,34,58,41,1487,3208,Nýřany,57612,10436,1699.2987572033605,16,True,2,1197.7769260252971,16,True,2,26.967047747141898,25,False,0,0.6890034364261168,0,61
sobota,2020-10-31,3209,Plzeň,1380,220,94,2326,357,157,145,97,4370,3209,Plzeň,194280,40386,1657.4016882849496,16,False,0,1188.5306789481504,16,True,2,31.57894736842105,25,False,0,0.732484076433121,0,59
sobota,2020-10-31,3210,Přeštice,185,36,12,326,48,18,19,12,542,3210,Přeštice,22885,4449,2040.637972471051,16,False,0,1416.0485502360082,16,True,2,34.132841328413285,25,False,0,0.6292517006802721,0,59
sobota,2020-10-31,3211,Rokycany,391,91,53,538,120,65,33,24,1443,3211,Rokycany,49349,10085,1588.6846744614886,16,True,2,1715.4189390183442,16,True,2,27.096327096327094,25,False,0,1.0831024930747923,10,71
sobota,2020-10-31,3212,Stod,209,30,14,363,62,25,28,14,640,3212,Stod,23393,4517,2009.1480357371863,16,True,2,1483.2853663936241,16,True,2,32.65625,25,True,2,0.8038461538461539,5,68
sobota,2020-10-31,3213,Stříbro,103,12,5,152,26,10,9,5,364,3213,Stříbro,17190,3184,1250.7271669575334,16,True,2,1005.0251256281407,16,True,2,28.296703296703296,25,False,0,0.8879310344827587,5,66
sobota,2020-10-31,3214,Sušice,149,16,8,214,30,12,12,10,424,3214,Sušice,24150,5546,1105.5900621118012,16,True,2,631.0854670032456,16,True,2,35.14150943396226,25,True,2,1.146153846153846,10,73
sobota,2020-10-31,3215,Tachov,193,33,13,343,82,46,37,22,720,3215,Tachov,37146,6444,1235.66467452754,16,False,0,1458.7212911235258,16,True,2,26.805555555555554,25,False,0,0.7283018867924528,0,59
sobota,2020-10-31,4101,Aš,43,2,1,60,5,3,3,2,182,4101,Aš,17695,3278,491.664311952529,16,True,2,274.55765710799267,13,True,2,23.626373626373624,25,False,0,0.9347826086956522,5,63
sobota,2020-10-31,4102,Cheb,211,32,9,302,45,14,12,13,592,4102,Cheb,49955,9806,790.7116404764289,16,True,2,581.2767693249031,16,True,2,35.641891891891895,25,False,0,1.1530054644808743,10,71
sobota,2020-10-31,4103,Karlovy Vary,556,122,61,837,179,82,43,51,1868,4103,Karlovy Vary,87182,19250,1262.8753641806795,16,True,2,1148.051948051948,16,True,2,29.764453961456105,25,False,0,1.0072463768115942,10,71
sobota,2020-10-31,4104,Kraslice,57,9,4,72,8,4,3,6,209,4104,Kraslice,13184,2750,788.8349514563107,16,True,2,654.5454545454545,16,True,2,27.27272727272727,25,False,0,1.2391304347826086,15,76
sobota,2020-10-31,4105,Mariánské Lázně,92,17,8,142,26,8,7,7,333,4105,Mariánské Lázně,23984,5419,775.5170113408939,16,True,2,608.9684443624285,16,True,2,27.627627627627625,25,True,2,0.968421052631579,5,68
sobota,2020-10-31,4106,Ostrov,212,45,28,289,60,33,14,17,740,4106,Ostrov,27636,5453,1367.7811550151976,16,True,2,1302.035576746745,16,True,2,28.64864864864865,25,False,0,1.2114285714285715,15,76
sobota,2020-10-31,4107,Sokolov,622,109,54,926,152,65,21,41,1772,4107,Sokolov,75028,14222,1612.7312470011195,16,True,2,1307.8329348896077,16,True,2,35.10158013544018,25,False,0,1.0970017636684304,10,71
sobota,2020-10-31,4201,Bílina,98,12,8,119,14,8,11,10,261,4201,Bílina,22600,3935,681.4159292035399,16,True,2,508.2592121982211,16,True,2,37.547892720306514,25,True,2,1.3424657534246576,15,78
sobota,2020-10-31,4202,Děčín,664,146,87,828,168,94,39,36,1673,4202,Děčín,76842,16362,1458.8376148460477,16,True,2,1216.2327343845495,16,True,2,39.68918111177525,25,True,2,1.2793834296724471,15,78
sobota,2020-10-31,4203,Chomutov,855,136,63,1303,220,113,110,101,2049,4203,Chomutov,81662,14681,2145.4287183757438,16,True,2,1975.3422791362984,16,True,2,41.72767203513909,25,False,0,0.8990536277602523,5,66
